Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
2442,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",
2443,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
2444,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Gift,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2445,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
2446,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(b)Did not want to,"(a)yes, many times",
2447,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",
2448,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Huddis,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2449,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(d) no,(b)Did not want to,(b)no,,(a)Did not need to,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",
2450,Female,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Mobile,,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
2451,Female,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",
2452,Female,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,(a) yes,Stitching,,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
2453,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Bottle,,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
2454,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",
2455,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",
2456,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to
2457,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
2458,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(b)Did not want to,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
2459,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",
2460,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
2461,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",
2462,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2463,Female,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",
2464,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
2465,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",
2466,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",
2467,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
2468,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
2469,Male,(d)no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
2470,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",
2471,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2472,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
2473,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,(a) yes,Bottle selling,,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",
2474,Female,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
2475,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to
2476,Male,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",
2477,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(a) yes,1,,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
2478,Female,(d)no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",
2479,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(a) yes,Bottle selling,,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
2480,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,(b)Did not want to
2481,Female,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",
2482,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(a) yes,Neha,,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2483,Female,(d)no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(b)no,,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
2484,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",
2485,Female,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",
2486,Female,(d)no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(b)yes, sometimes",,(b)no,,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",
2487,Female,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(d) no,(b)Did not want to,(b)no,,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2488,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",
2489,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to
2490,Female,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",
2491,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Selling of goods,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
